,s_r_x,shoulder_right,s_r_z,e_r_x,elbow_right,e_r_z,w_r_x,wrist_right,w_r_z,h_r_x,hand_right,h_r_z,ht_x,handtip_right,ht_z,t_r_x,thumb_right,t_r_z
frame,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
979,-5.14665,-21.6385,1560.78,-241.798,120.314,1551.75,-182.474,-96.5841,1501.93,-149.72,-159.832,1574.48,-113.22,-197.499,1484.5,-92.4064,-200.912,1546.64
980,-5.01783,-21.4163,1560.2,-241.352,120.621,1551.22,-182.087,-95.8088,1500.2,-149.714,-158.988,1572.87,-113.429,-199.933,1484.34,-93.1478,-200.922,1544.94
981,-5.15784,-21.6907,1561.36,-241.119,121.154,1551.47,-182.854,-95.1781,1498.44,-148.198,-158.237,1570.21,-113.408,-206.893,1485,-93.2047,-200.958,1540.31
982,-5.32448,-22.2715,1559.74,-240.963,121,1551.68,-184.745,-95.0257,1495.69,-149.148,-156.183,1568.58,-113.545,-210.239,1487.09,-94.2394,-199.321,1539.21
983,-5.32727,-22.5011,1560.55,-241.173,120.375,1551.89,-185.236,-96.1243,1497.51,-150.141,-157.699,1570.28,-113.397,-213.635,1490.59,-95.1552,-200.791,1540.99
984,-5.32584,-22.5084,1560.55,-241.175,120.365,1551.89,-185.232,-96.1278,1497.47,-150.099,-157.711,1570.22,-113.372,-213.604,1490.49,-95.1114,-200.783,1540.91
985,-5.34432,-22.5278,1560.55,-241.198,120.357,1552.02,-185.303,-96.1497,1497.59,-150.204,-157.692,1570.39,-113.444,-213.729,1490.78,-95.2199,-200.801,1541.12
986,-5.34692,-22.535,1560.54,-241.2,120.355,1552.01,-185.312,-96.1529,1497.57,-150.214,-157.693,1570.38,-113.451,-213.737,1490.77,-95.2288,-200.803,1541.11
987,-5.34315,-22.556,1560.48,-241.207,120.326,1552.02,-185.309,-96.1492,1497.45,-150.091,-157.74,1570.16,-113.403,-213.625,1490.4,-95.1117,-200.788,1540.78
988,-5.34578,-22.62,1560.44,-241.231,120.286,1552.19,-185.435,-96.1842,1497.41,-150.165,-157.909,1569.99,-113.628,-213.633,1490.04,-95.2417,-200.95,1540.49
989,-5.34466,-22.6233,1560.45,-241.234,120.278,1552.21,-185.44,-96.1957,1497.44,-150.183,-157.915,1570.04,-113.639,-213.651,1490.09,-95.2587,-200.963,1540.54
990,-5.70682,-22.2661,1560.98,-244.418,117.668,1552.18,-185.855,-98.5436,1496.04,-159.384,-161.182,1571.99,-127.158,-196.257,1479.06,-104.881,-207.891,1546.97
991,-5.87188,-21.8364,1561.31,-244.474,118.065,1552.47,-187.276,-98.3138,1495.95,-163.747,-159.077,1574.29,-127.57,-197.47,1484.21,-108.308,-206.264,1552.53
992,-6.42962,-21.5197,1560.59,-244.802,118.05,1554.98,-193.526,-97.7303,1492.35,-172.92,-163.084,1567.55,-119.442,-210.979,1492,-111.894,-203.766,1548.16
993,-5.9768,-22.916,1562.51,-246.893,111.836,1549.47,-190.278,-106.913,1503.85,-206.281,-178.662,1574.21,-137.129,-121.292,1521.36,-140.145,-194.86,1607.69
994,-6.85748,-20.3019,1561.43,-243.903,121.494,1552.23,-201.828,-97.0428,1492.08,-196.617,-165.319,1567.36,-146.216,-200.862,1483.31,-140.791,-214.294,1551.76
995,-8.08443,-19.4771,1560.22,-243.249,125.202,1550.76,-213.812,-94.6518,1488.28,-197.46,-166.239,1558.68,-150.353,-218.611,1481.88,-141.129,-211.121,1534.88
996,-8.91617,-19.6641,1560.62,-243.978,125.944,1552.22,-214.066,-93.1819,1486.37,-212.192,-167.282,1556.24,-155.746,-218.659,1485.09,-154.762,-214.303,1540.11
997,-9.54543,-18.2575,1558.76,-243.086,128.897,1550.84,-221.305,-93.4345,1494.66,-220.022,-184.69,1539.5,-193.103,-117.359,1464.72,-172.545,-229.746,1501.22
998,-8.73411,-21.2021,1558.71,-248.145,116.204,1547.57,-219.303,-108.086,1503.21,-247.22,-152.826,1590.2,-187.054,-166.064,1506.15,-202.812,-213.252,1601.63
999,-9.47485,-21.4604,1560.01,-248.338,116.672,1550.9,-219.171,-102.819,1487.6,-237.641,-157.066,1571.57,-203.446,-201.355,1483.74,-205.34,-225.212,1563.88
1000,-10.6074,-21.8158,1559.31,-246.862,122.074,1552.76,-219.946,-96.8287,1484.71,-233.965,-162.22,1561.58,-209.074,-204.186,1469.31,-204.135,-229.305,1542.03
